"Province_State" "Country_Region" "Confirmed" "Deaths"
"Khakassia Republic" "Russia" 42746 1292
"Khanty-Mansi Autonomous Okrug" "Russia" 80852 1291
"Kirov Oblast" "Russia" 62463 585
"Komi Republic" "Russia" 77246 1937
"Kostroma Oblast" "Russia" 37667 861
"Krasnodar Krai" "Russia" 80165 7174
"Krasnoyarsk Krai" "Russia" 127959 6417
"Kurgan Oblast" "Russia" 37713 787
"Kursk Oblast" "Russia" 64493 1580
"Leningrad Oblast" "Russia" 76568 2545
"Lipetsk Oblast" "Russia" 60692 1973
"Magadan Oblast" "Russia" 11564 277
"Mari El Republic" "Russia" 21879 676
"Mordovia Republic" "Russia" 30990 684
"Moscow" "Russia" 1780781 30872
"Moscow Oblast" "Russia" 505213 8554
"Murmansk Oblast" "Russia" 77620 2282
"Nenets Autonomous Okrug" "Russia" 2673 60
"Nizhny Novgorod Oblast" "Russia" 187230 7525
"North Ossetia - Alania Republic" "Russia" 25034 686
"Novgorod Oblast" "Russia" 49074 489
"Novosibirsk Oblast" "Russia" 69280 3313
"Omsk Oblast" "Russia" 94652 2414
"Orel Oblast" "Russia" 51703 1069
"Orenburg Oblast" "Russia" 87336 2483
"Penza Oblast" "Russia" 78356 3387
"Perm Krai" "Russia" 116392 5634
"Primorsky Krai" "Russia" 74870 1241
"Pskov Oblast" "Russia" 56321 893
"Rostov Oblast" "Russia" 152981 7583
"Ryazan Oblast" "Russia" 46788 1345
"Saint Petersburg" "Russia" 691828 23502
"Sakha (Yakutiya) Republic" "Russia" 60651 1398
"Sakhalin Oblast" "Russia" 34493 353
"Samara Oblast" "Russia" 126282 4472
"Saratov Oblast" "Russia" 98733 3706
"Smolensk Oblast" "Russia" 58808 1885
"Stavropol Krai" "Russia" 95607 3851
"Sverdlovsk Oblast" "Russia" 153890 7318
"Tambov Oblast" "Russia" 47393 1065
"Tatarstan Republic" "Russia" 29883 939
"Tomsk Oblast" "Russia" 46833 588
"Tula Oblast" "Russia" 58912 3368
"Tver Oblast" "Russia" 74712 1810
"Tyumen Oblast" "Russia" 69104 2284
"Tyva Republic" "Russia" 28244 283
"Udmurt Republic" "Russia" 61755 2523
"Ulyanovsk Oblast" "Russia" 92846 2931
"Vladimir Oblast" "Russia" 61213 2192
"Volgograd Oblast" "Russia" 101863 3411
"Vologda Oblast" "Russia" 76495 2148
"Voronezh Oblast" "Russia" 150364 4831
"Yamalo-Nenets Autonomous Okrug" "Russia" 53491 741
"Yaroslavl Oblast" "Russia" 67602 1348
"Zabaykalsky Krai" "Russia" 75175 1308
"Rwanda" "Rwanda" 99474 1321
"Saint Kitts and Nevis" "Saint Kitts and Nevis" 2637 21
"Saint Lucia" "Saint Lucia" 12465 250
"Saint Vincent and the Grenadines" "Saint Vincent and the Grenadines" 4860 63
"Samoa" "Samoa" 3 0
"San Marino" "San Marino" 5521 92
"Sao Tome and Principe" "Sao Tome and Principe" 3705 56
"Saudi Arabia" "Saudi Arabia" 548368 8782
"Senegal" "Senegal" 73897 1878
"Serbia" "Serbia" 1111957 9634
"Seychelles" "Seychelles" 22150 119
"Sierra Leone" "Sierra Leone" 6397 121
"Singapore" "Singapore" 179095 339
"Slovakia" "Slovakia" 460281 12935
"Slovenia" "Slovenia" 322914 4704
"Solomon Islands" "Solomon Islands" 20 0
"Somalia" "Somalia" 21998 1208
"South Africa" "South Africa" 2920109 88987
"South Sudan" "South Sudan" 12299 133
"Andalusia" "Spain" 807337 11265
"Aragon" "Spain" 162658 3907
"Asturias" "Spain" 71301 2077
"Baleares" "Spain" 100616 994
"C. Valenciana" "Spain" 514357 7808
"Canarias" "Spain" 96895 1011
"Cantabria" "Spain" 46726 610
"Castilla - La Mancha" "Spain" 240090 6477
"Castilla y Leon" "Spain" 301160 7343
"Catalonia" "Spain" 928122 15877
"Ceuta" "Spain" 7584 128
"Extremadura" "Spain" 103181 1993
"Galicia" "Spain" 187342 2647
"La Rioja" "Spain" 39631 823
"Madrid" "Spain" 897482 16178
"Melilla" "Spain" 11060 112
"Murcia" "Spain" 142230 1750
"Navarra" "Spain" 83221 1252
"Pais Vasco" "Spain" 263150 4986
"Sri Lanka" "Sri Lanka" 537201 13654
"Sudan" "Sudan" 40433 3099
"Summer Olympics 2020" "Summer Olympics 2020" 865 0
"Suriname" "Suriname" 48548 1069
"Blekinge" "Sweden" 13498 131
"Dalarna" "Sweden" 28773 357
"Gavleborg" "Sweden" 37443 564
"Gotland" "Sweden" 4575 54
"Halland" "Sweden" 43310 329
"Jamtland Harjedalen" "Sweden" 13215 128
"Jonkoping" "Sweden" 45734 561
"Kalmar" "Sweden" 25607 251
"Kronoberg" "Sweden" 23683 326
"Norrbotten" "Sweden" 28033 292
"Orebro" "Sweden" 34398 353
"Ostergotland" "Sweden" 44901 659
"Skane" "Sweden" 166027 1793
"Sormland" "Sweden" 27589 483
"Stockholm" "Sweden" 279074 4472
"Uppsala" "Sweden" 42801 545
"Varmland" "Sweden" 21584 223
"Vasterbotten" "Sweden" 26136 198
"Vasternorrland" "Sweden" 27731 481
"Vastmanland" "Sweden" 30466 365
"Vastra Gotaland" "Sweden" 203693 2437
"Switzerland" "Switzerland" 865708 12198
"Syria" "Syria" 42076 2526
"Taiwan*" "Taiwan" 16380 847
"Tajikistan" "Tajikistan" 17486 125
"Tanzania" "Tanzania" 26115 725
"Thailand" "Thailand" 1866863 18865
"Timor-Leste" "Timor-Leste" 19778 121
"Togo" "Togo" 26011 242
"Trinidad and Tobago" "Trinidad and Tobago" 56013 1655
"Tunisia" "Tunisia" 712013 25213
"Turkey" "Turkey" 7909081 69559
"Alabama" "US" 10061 148
"Alabama" "US" 37285 552
"Alabama" "US" 3583 76
"Alabama" "US" 4256 86
"Alabama" "US" 10227 176
"Alabama" "US" 1518 44
"Alabama" "US" 3285 96
"Alabama" "US" 22255 490
"Alabama" "US" 5615 142
"Alabama" "US" 3032 60
"Alabama" "US" 6658 162
"Alabama" "US" 885 27
"Alabama" "US" 4772 84
"Alabama" "US" 2455 68
"Alabama" "US" 2479 60
"Alabama" "US" 9215 191
"Alabama" "US" 8907 201
"Alabama" "US" 1866 54
"Alabama" "US" 1809 40
"Alabama" "US" 6724 183
"Alabama" "US" 2454 75
"Alabama" "US" 15493 293
"Alabama" "US" 8912 186
"Alabama" "US" 5013 202
"Alabama" "US" 12670 261
"Alabama" "US" 15292 286
"Alabama" "US" 6782 134
"Alabama" "US" 19844 500
"Alabama" "US" 2945 80
"Alabama" "US" 5992 105
"Alabama" "US" 4577 127
"Alabama" "US" 1267 44
"Alabama" "US" 3119 88
"Alabama" "US" 3131 66
"Alabama" "US" 17406 412
"Alabama" "US" 9909 185
"Alabama" "US" 114905 1930
"Alabama" "US" 2257 47
"Alabama" "US" 14366 295
"Alabama" "US" 4352 117
"Alabama" "US" 23556 246
"Alabama" "US" 15402 199
"Alabama" "US" 1757 64
"Alabama" "US" 2355 63
"Alabama" "US" 52400 699
